647121038	20160415	201604	2016	2016.2877											GOV	KINGDOM						GOV			1	033	033	03	1	5.2	5	1	5	0	0								1	Saudi Arabia	SA	SA		25	45	SA	1	Saudi Arabia	SA	SA		25	45	SA	20170415233000	https://www.thetimes.co.uk/edition/ireland/last-call-for-sober-talk-on-islam-in-ireland-md56swm5b
647121039	20160415	201604	2016	2016.2877	BUS	INDUSTRY						BUS			GBR	LONDON	GBR								1	043	043	04	1	2.8	4	1	2	6.2015503875969	1	Japan	JA	JA		36	138	JA	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20170415233000	http://www.arabnews.com/node/1085281/motoring
647121040	20160415	201604	2016	2016.2877	CHN	CHINA	CHN																		0	051	051	05	1	3.4	2	1	2	3.94265232974911	4	Guizhou, Hubei, China	CH	CH12	13129	31.0167	110.583	-1907618	0								4	Guizhou, Hubei, China	CH	CH12	13129	31.0167	110.583	-1907618	20170415233000	http://english.qianlong.com/2017/0414/1603440.shtml
647121041	20160415	201604	2016	2016.2877	COP	POLICE						COP			MNCUSAMED	GOOGLE	USA					MNC	MED		1	173	173	17	4	-5.0	3	1	3	0.150829562594271	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	20170415233000	https://www.dailymercury.com.au/news/man-arrested-relation-slain-jogger/3167097/
647121042	20160415	201604	2016	2016.2877	COP	POLICE						COP			USA	UNITED STATES	USA								1	173	173	17	4	-5.0	2	1	2	0.150829562594271	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	4	Beaconsfield, Buckinghamshire, United Kingdom	UK	UKB9	40114	51.6	-0.633333	-2589471	20170415233000	https://www.dailymercury.com.au/news/man-arrested-relation-slain-jogger/3167097/
647121043	20160415	201604	2016	2016.2877	GBR	LONDON	GBR								BUS	INDUSTRY						BUS			1	042	042	04	1	1.9	10	1	8	6.2015503875969	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	1	Japan	JA	JA		36	138	JA	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20170415233000	http://www.arabnews.com/node/1085281/motoring
647121044	20160415	201604	2016	2016.2877	HLH	HOSPITAL						HLH													1	180	180	18	4	-9.0	10	1	10	-2.71317829457365	4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	0								4	London, London, City of, United Kingdom	UK	UKH9	40110	51.5	-0.116667	-2601889	20170415233000	http://www.mirror.co.uk/news/uk-news/new-police-squad-deployed-protect-10234910
647121045	20160415	201604	2016	2016.2877	KOR	SEOUL	KOR								USA	UNITED STATES	USA								0	194	194	19	4	-10.0	4	2	4	-1.54678287826591	4	Musudan, Hamgyong-bukto, North Korea	KN	KN17	39533	40.8353	129.713	-180069	4	Musudan, Hamgyong-bukto, North Korea	KN	KN17	39533	40.8353	129.713	-180069	4	Musudan, Hamgyong-bukto, North Korea	KN	KN17	39533	40.8353	129.713	-180069	20170415233000	http://lethbridgeherald.com/news/world-news/2017/04/15/north-korea-flaunts-longrange-missiles-in-birthday-parade/
647121046	20160415	201604	2016	2016.2877	NGA	NIGERIA	NGA																		1	090	090	09	2	-2.0	5	1	5	-5.18266779949023	4	Calabar, Cross River, Nigeria	NI	NI22	191378	4.9517	8.322	-2003575	0								4	Calabar, Cross River, Nigeria	NI	NI22	191378	4.9517	8.322	-2003575	20170415233000	http://thenationonlineng.net/cybercriminals-hurting-businesses/
647121047	20160415	201604	2016	2016.2877	PRK	PYONGYANG	PRK																		1	020	020	02	1	3.0	2	1	2	-5.35714285714286	4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	0								1	United States	US	US		38	-97	US	20170415233000	https://www.yahoo.com/news/north-korea-fails-missile-test-seoul-230918773.html
647121048	20160415	201604	2016	2016.2877	RUS	RUSSIA	RUS																		1	111	111	11	3	-2.0	2	1	2	2.80528052805281	4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	0								4	Edinburgh, Edinburgh, City of, United Kingdom	UK	UKU8	40173	55.95	-3.2	-2595386	20170415233000	http://www.heraldscotland.com/life_style/15227223.Andy_Gemmell__39_s_Drinks_Cabinet__Panda___Sons__Edinburgh/
647121049	20160415	201604	2016	2016.2877	USA	OKLAHOMA CITY	USA																		1	120	120	12	3	-4.0	10	1	10	-5.9016393442623	3	Oklahoma City, Oklahoma, United States	US	USOK	OK109	35.4676	-97.5164	1102140	0								3	Oklahoma City, Oklahoma, United States	US	USOK		35.4676	-97.5164	1102140	20170415233000	http://m.newsok.com/oklahoma-citys-april-sales-tax-shows-decline/article/5545466
647121050	20160415	201604	2016	2016.2877	YEMMOSUAF	YEMEN	YEM			MOS		UAF													0	195	195	19	4	-10.0	2	1	2	-4.09270216962525	4	Ahmed Rashid, Taizz, Yemen	YM	YM25	32988	13.45	43.75	-3182367	0								4	Pyongyang, P'yongyang-si, North Korea	KN	KN12	39681	39.0194	125.755	-183459	20170415233000	http://www.heraldscotland.com/news/15227254.Trump_and_Kim_take_the_world_to_the_brink/
